names,rna,uridine,pseudouridine,FUR
control,rRNA,81.50757894354462,18.492421056455388,0.0
5-FU,rRNA,85.23032068248422,12.507012678859002,2.26266663865678
5-FdUR,rRNA,85.5528461966224,12.84330312554378,1.603850677833813
5-FUR,rRNA,66.6164071263422,14.317829755323611,19.065763118334196
G418,rRNA,82.88103850683174,17.118961493168268,0.0
control,mRNA,94.87641533242665,5.1235846675733505,0.0
5-FU,mRNA,95.20470733786694,1.8610176306427049,2.9342750314903627
5-FdUR,mRNA,93.94032315929513,2.780260577547591,3.2794162631572776
5-FUR,mRNA,25.76270319908356,2.4238027299042555,71.81349407101219
G418,mRNA,95.35145014554206,4.648549854457939,0.0
