samples,time,G418,5-FU,5-FUR,5-FdUR,U,PSU,inosine,GSH,GSSG,glutamine
control,1,0.0,0.0,0.0,0.0,0.6133518632562018,0.07207991777992345,0.15679911761803894,0.571129314028691,0.15544041450777227,0.34597764190309793
control,2,0.0,0.0,0.0,0.0,0.1420343260073298,0.1344823763503014,0.5787912441044205,0.8367465545101832,0.5362694300518135,0.5760585762954278
control,3,0.0,0.0,0.0,0.0,0.9238917188144398,0.19648705866935226,0.8215102227303603,0.7178172586988123,0.49870466321243545,0.4613602380386878
G418,1,0.0,0.0,0.0,0.0,0.44973744122984116,0.07603607944915884,0.17079514105329935,0.6902371530268917,0.2046632124352327,0.5690506199203493
G418,2,0.0,0.0,0.0,0.0,1.0000000000000002,0.12473624549700632,0.6818864267979436,0.7097296462102587,0.33937823834196856,0.6093223316433071
G418,3,1.0,0.0,0.0,0.0,0.5444208238143451,0.14838094609955263,0.5724592429226245,0.3021465980634899,0.2525906735751302,0.24922280769990324
5-FU,1,0.0,0.6472380734437564,0.0700019776442031,0.07321676251614705,0.8828279575362954,0.017852139646493525,0.0814139288249467,0.5728133898906104,0.24222797927461207,0.4500340145765542
5-FU,2,0.0,0.9082208438474311,0.15915346485878257,0.05824173567157846,0.7515205841818438,0.017160924370230587,0.029709938880620193,0.5407476016500524,0.22538860103626898,0.5384333216279591
5-FU,3,0.0,1.0,0.21390669486013608,0.09491997238271321,0.12781486797441477,0.032202183145073976,0.028818539778949236,0.31429744564065504,0.18782383419689105,0.40744517004789255
5-FUR,1,0.0,0.7987373301099795,1.0,0.12057967873727549,0.10397555934926406,0.04083685121487994,0.016795395366330727,0.43182419024184693,0.17875647668393732,0.4598529254014559
5-FUR,2,0.0,0.8954827572689961,0.5033189527846839,0.0971956025020299,0.1336957215875777,0.00605976924927221,0.0,0.08670521904356931,0.05440414507771951,0.27152929697773587
5-FUR,3,0.0,0.6036491000012641,0.27121944137476495,0.06917426390239975,0.0,0.0,0.016778249251146488,0.0,0.05051813471502631,0.0
5-FdUR,1,0.0,0.26999301941957954,0.01964065327279928,1.0,0.8791398588695334,0.029907654907705656,0.04996989309627724,0.5129676692708139,0.15544041450777227,0.6683923311629925
5-FdUR,2,0.0,0.37413212796137585,0.03102767921791983,0.4618534090657332,0.7579970523964183,0.03352907918907991,0.042194913443091696,0.5359120564184294,0.27331606217616655,0.6998255679233765
5-FdUR,3,0.0,0.5400692063709908,0.043483060810606995,0.4947006929073641,0.6633767651685463,0.024646973804641214,0.06518971719374954,0.21055202431768721,0.0,0.4712435498298188
PSU,1,0.0,0.0,0.0,0.06917426390239975,0.7547994094033479,0.36453578417853316,0.18313264305476173,0.7263895913434427,0.2759067357512953,0.4198698392451747
PSU,2,0.0,0.0,0.0,0.0,0.10095542277111968,0.6153620223476013,0.9999999999999998,1.0,1.0,0.6548238551663544
PSU,3,0.0,0.0,0.0,0.0,0.902934159009851,1.0,0.44255519337411203,0.7987541552421046,0.4650259067357523,1.0
